1 0.0 0.0 0.0 0.0
2 0.5 0.5 0.5 0.5
3 1.22 1.22 1.23 1.23
4 2.09 2.12 2.13 1.93
5 3.07 3.16 3.17 2.74
6 4.2 4.37 4.37 3.66
7 5.4 5.62 5.63 4.71
8 6.66 7.03 7.01 5.79
9 8.07 8.55 8.54 6.92
10 9.55 10.16 10.13 8.13
11 11.07 11.82 11.74 9.42
12 12.64 13.56 13.45 10.74
13 14.26 15.39 15.28 12.12
14 15.94 17.33 17.11 13.53
15 17.66 19.27 19.02 15.0
16 19.41 21.19 21.02 16.49
17 21.21 23.34 23.18 18.04
18 23.05 25.42 25.29 19.61
19 24.96 27.52 27.42 21.23
20 26.88 29.75 29.57 22.86
21 28.85 31.95 31.76 24.54
22 30.85 34.21 34.02 26.25
23 32.9 36.45 36.42 27.99
24 34.96 38.77 38.77 29.77
25 37.04 41.24 41.09 31.56
26 39.14 43.67 43.67 33.38
27 41.27 46.06 46.04 35.23
28 43.42 48.48 48.54 37.09
29 45.61 50.97 51.18 38.96
30 47.8 53.41 53.75 40.85
31 50.02 55.92 56.28 42.79
32 52.26 58.65 58.94 44.73
33 54.51 61.23 61.52 46.7
34 56.79 63.88 64.13 48.69
35 59.12 66.61 66.91 50.7
36 61.46 69.31 69.71 52.73
37 63.81 72.11 72.35 54.79
38 66.19 74.87 75.04 56.86
39 68.6 77.65 77.73 58.95
40 71.0 80.51 80.54 61.06
41 73.43 83.31 83.39 63.18
42 75.9 86.13 86.34 65.32
43 78.38 88.98 89.31 67.48
44 80.86 91.9 92.22 69.65
45 83.36 94.87 95.21 71.84
46 85.87 97.99 98.18 74.05
47 88.39 101.05 101.08 76.28
48 90.94 104.05 104.0 78.51
49 93.49 107.08 107.14 80.77
50 96.05 110.02 110.16 83.03
51 98.64 113.11 113.26 85.31
52 101.24 116.25 116.33 87.59
53 103.84 119.26 119.39 89.89
54 106.48 122.32 122.39 92.2
55 109.11 125.52 125.5 94.52
56 111.76 128.69 128.64 96.85
57 114.41 131.83 131.9 99.19
58 117.08 134.96 135.1 101.53
59 119.76 138.04 138.31 103.89
60 122.45 141.31 141.49 106.26
61 125.13 144.59 144.67 108.64
62 127.84 147.83 147.89 111.02
63 130.55 151.02 151.15 113.42
64 133.28 154.38 154.37 115.82
65 136.04 157.67 157.75 118.25
66 138.79 161.0 161.08 120.67
67 141.56 164.29 164.41 123.13
68 144.35 167.56 167.66 125.58
69 147.15 170.76 171.07 128.05
70 149.97 174.03 174.39 130.53
71 152.79 177.26 177.7 133.03
72 155.63 180.58 181.04 135.54
73 158.45 184.02 184.48 138.05
74 161.29 187.41 187.84 140.58
75 164.15 190.88 191.22 143.12
76 167.02 194.42 194.58 145.67
77 169.91 197.84 198.01 148.23
78 172.8 201.28 201.56 150.8
79 175.71 204.74 205.01 153.38
80 178.61 208.26 208.56 155.97
81 181.53 211.75 211.99 158.57
82 184.48 215.15 215.56 161.17
83 187.42 218.72 219.06 163.78
84 190.36 222.35 222.49 166.41
85 193.31 225.91 226.12 169.04
86 196.26 229.5 229.58 171.68
87 199.23 233.09 233.16 174.32
88 202.19 236.68 236.82 176.98
89 205.18 240.33 240.39 179.65
90 208.17 243.94 243.95 182.32
91 211.17 247.52 247.55 185.0
92 214.16 251.12 251.16 187.69
93 217.18 254.77 254.93 190.39
94 220.21 258.54 258.6 193.09
95 223.24 262.25 262.23 195.81
96 226.28 265.96 266.01 198.53
97 229.31 269.66 269.56 201.26
98 232.35 273.38 273.19 203.99
99 235.4 276.99 276.87 206.74
100 238.47 280.67 280.57 209.48
